dci_name,overall_status,trimester_details/T1,trimester_details/T2,trimester_details/T3,trimester_details/DELIVERY,summary,source_url
CYPROHEPTADINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de cyproheptadine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/6794/
Cabergoline,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cabergoline en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/8978/
DESLORATADINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à desloratadine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/3662/
DESOGESTREL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à desogestrel sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/6224/
DESONIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec desonide en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/5170/
DEXAMETHASONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec dexamethasone en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/5021/
DEXCHLORPHENIRAMINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à dexchlorpheniramine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/6800/
DIAZEPAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à diazepam sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’évènements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.",https://www.lecrat.fr/3869/
DICLOFENAC,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Diclofenac est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/15298/
DILTIAZEM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec diltiazem en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9322/
DIMETICONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec dimeticone en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/12157/
DIPHTERIE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à diphterie sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/9526/
DIPHENHYDRAMINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à diphenhydramine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/3474/
DOCUSATE SODIQUE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à docusate sodique sont nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/8801/
DOMPERIDONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à domperidone sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/3446/
DORZOLAMIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec dorzolamide en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/9981/
DOXYCYCLINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Le doxycycline est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. Au premier trimestre, les données disponibles sont rassurantes sur le plan malformatif, aucun effet tératogène n'étant retenu à ce jour.",https://www.lecrat.fr/6396/
DYDROGESTERONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à dydrogesterone sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/11321/
ECONAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec econazole en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Aucun effet malformatif, foetal ou néonatal attribuable au traitement n’a été rapporté à ce jour.",https://www.lecrat.fr/10272/
ELETRIPTAN,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à eletriptan sont nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/10981/
ENALAPRIL,UNSAFE,SAFE,UNSAFE,UNSAFE,CAUTION,"Enalapril est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.",https://www.lecrat.fr/7208/
ERYTHROMYCINE,SAFE,SAFE,SAFE,SAFE,CAUTION,Les données publiées chez les femmes enceintes exposées à erythromycine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Un risque de sténose du pylore est évoqué chez les nouveau-nés directement traités par érythromycine.,https://www.lecrat.fr/6322/
ESCITALOPRAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à escitalopram sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Chez environ 30% des nouveau-nés de mères traitées jusqu’à l’accouchement par un antidépresseur IRSS/IRSNa, des symptômes néonatals, le plus souvent transitoires, peu sévères et de courte durée, peuvent apparaître dans les premiers jours de vie.",https://www.lecrat.fr/4018/
ESOMEPRAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à esomeprazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/12852/
ESTRADIOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec estradiol en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/6218/
ETHINYLESTRADIOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec ethinylestradiol en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/6225/
FAMOTIDINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à famotidine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/12839/
FENOTEROL,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de fenoterol reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/8070/
FEXOFENADINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à fexofenadine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/4981/
FLECAINIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec flecainide en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9320/
FLUCONAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à fluconazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/10230/
FLUOROMETHOLONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec fluorometholone en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/5070/
FLUOXETINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à fluoxetine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Chez environ 30% des nouveau-nés de mères traitées jusqu’à l’accouchement par un antidépresseur IRSS, des symptômes néonatals, le plus souvent transitoires, peu sévères et de courte durée, peuvent apparaître dans les premiers jours de vie.",https://www.lecrat.fr/4025/
FLURBIPROFENE,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Flurbiprofene est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/15293/
FLUTICASONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à fluticasone sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En effet, un asthme mal équilibré peut avoir un effet délétère sur la grossesse/le nouveau-né (prématurité, petit poids de naissance…).",https://www.lecrat.fr/8107/
FLUVASTATINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de fluvastatine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/8632/
FLUVOXAMINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à fluvoxamine sont nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Ces signes traduisent soit une imprégnation du nouveau-né, soit un syndrome de sevrage.",https://www.lecrat.fr/12211/
FORMOTEROL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à formoterol sont nombreuses et aucun effet malformatif n'est retenu à ce jour. En effet, un asthme mal équilibré peut avoir un effet délétère sur la grossesse/le nouveau-né (prématurité, petit poids de naissance…).",https://www.lecrat.fr/8043/
FOSFOMYCINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à fosfomycine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/6678/
FRAMYCETINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec framycetine en cours de grossesse sont limitées (quelques cas seulement), sans signal de risque malformatif significatif retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13362/
FROVATRIPTAN,SAFE,SAFE,SAFE,SAFE,CAUTION,Les données publiées chez les femmes enceintes exposées à frovatriptan sont limitées et aucun effet malformatif n'est retenu à ce jour.,https://www.lecrat.fr/11003/
FUROSEMIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec furosemide en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Passe le placenta : les concentrations néonatales sont similaires voire supérieures à celles de la mère. Si le traitement est poursuivi jusqu’à l’accouchement, en informer les intervenants prenant en charge le nouveau-né, pour qu’ils puissent adapter la surveillance (ionogramme, diurèse).",https://www.lecrat.fr/11557/
GABAPENTINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à gabapentine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Passe le placenta et s’accumule chez le fœtus. A terme, les concentrations plasmatiques néonatales sont proches du double de celles de la mère.",https://www.lecrat.fr/12557/
GENTAMICINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec gentamicine en cours de grossesse sont limitées (quelques cas seulement), sans signal de risque malformatif significatif retenu à ce jour. En cas de traitement prolongé ou répété, tenir compte de l’exposition in utero à la gentamicine lors du dépistage néonatal des troubles de l’audition (cf.",https://www.lecrat.fr/7712/
GLIBENCLAMIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de glibenclamide reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/9002/
HALOPERIDOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à haloperidol sont nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/12044/
HEPTAMINOL,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de heptaminol reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/8537/
HYDROCHLOROTHIAZIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le hydrochlorothiazide est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/7226/
HYDROCORTISONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec hydrocortisone en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Un impact sur la surrénale fœtale et néonatale est possible en théorie avec tous les corticoïdes administrés à la mère par voie générale en fin de grossesse.",https://www.lecrat.fr/5077/
HYDROXYCHLOROQUINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à hydroxychloroquine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Les données de la littérature sur cet aspect restent toutefois contradictoires et ce résultat doit être confirmé par d’autres travaux L’hydroxychloroquine",https://www.lecrat.fr/3386/
HYDROXYZINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le hydroxyzine est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/3899/
IBUPROFEN,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Ibuprofen est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/15292/
INDACATEROL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec indacaterol en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/8024/
INDAPAMIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de indapamide reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/11551/
INDOMETACINE,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Indometacine est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/13468/
IOBITRIDOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec iobitridol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9780/
IOPAMIDOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec iopamidol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9780/
IRBESARTAN,UNSAFE,SAFE,UNSAFE,UNSAFE,CAUTION,"Irbesartan est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.",https://www.lecrat.fr/7378/
ISOCONAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec isoconazole en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/10276/
ISONIAZIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec isoniazide en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/8414/
ISOTRETINOINE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,Isotretinoine est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. L’isotrétinoïne par voie orale entraîne un syndrome malformatif dans environ 20% des cas.,https://www.lecrat.fr/6376/
ISRADIPINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec isradipine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9379/
KETOCONAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à ketoconazole sont nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/7564/
KETOPROFENE,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Ketoprofene est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/15338/
KETOTIFENE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec ketotifene en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/6804/
LAMOTRIGINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à lamotrigine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. A terme, les concentrations plasmatiques maternelles et néonatales sont équivalentes.",https://www.lecrat.fr/7035/
LANSOPRAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à lansoprazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/12850/
LATANOPROST,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec latanoprost en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/9944/
LEFLUNOMIDE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,"Leflunomide est classé UNSAFE en raison d'un effet tératogène documenté constituant une contre-indication à son utilisation pendant la grossesse. Les données publiées chez les femmes enceintes exposées au léflunomide ou au tériflunomide au 1er trimestre de la grossesse sont nombreuses et aucun effet malformatif attribuable au traitement n’est Aspect infectieux Du fait de l’immunosuppression induite par le traitement, un risque accru d’infections materno-foetales est théoriquement possible chez les femmes enceintes traitées par léflunomide/tériflunomide (listériose, CMV, toxoplasmose…).",https://www.lecrat.fr/10803/
LERCANIDIPINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de lercanidipine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/7234/
LEVETIRACETAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à levetiracetam sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. A terme, les concentrations maternelles et néonatales sont équivalentes.",https://www.lecrat.fr/7045/
LEVOCABASTINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec levocabastine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/6924/
LEVOCETIRIZINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à levocetirizine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/3101/
LEVOFLOXACINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à levofloxacine sont nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13191/
LEVOMEPROMAZINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de levomepromazine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/12107/
LEVONORGESTREL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à levonorgestrel sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/19659/
LIDOCAINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à lidocaine sont nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/8323/
LOPERAMIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à loperamide sont nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal En théorie, l’administration d’un médicament jusqu’à l’accouchement peut entraîner des effets néonatals dont la nature se superpose souvent aux effets recherchés et/ou indésirables chez l’adulte.",https://www.lecrat.fr/6597/
LORATADINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à loratadine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/3673/
LORAZEPAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à lorazepam sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Il est caractérisé notamment par une hyperexcitabilité, une agitation et des trémulations néonatales survenant à distance de l’accouchement.",https://www.lecrat.fr/6061/
LOSARTAN,UNSAFE,SAFE,UNSAFE,UNSAFE,CAUTION,"Losartan est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.",https://www.lecrat.fr/7384/
MANIDIPINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de manidipine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/9381/
MEBENDAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à mebendazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/7657/
